RefMol,EF1%,BEDROC,Target,n_neighbors,metric
ligand_CHEMBL104714,30.334841628959275,0.5815010178504079,ADA,10,euclidean
ligand_CHEMBL127469,16.684162895927603,0.4546196197601977,ADA,10,euclidean
ligand_CHEMBL128787,19.71764705882353,0.3803663989207281,ADA,10,euclidean
ligand_CHEMBL17351,13.650678733031674,0.3072336578200526,ADA,10,euclidean
ligand_CHEMBL18838,22.75113122171945,0.4897474847853022,ADA,10,euclidean
ligand_CHEMBL190280,13.650678733031674,0.3470201053614764,ADA,10,euclidean
ligand_CHEMBL290030,10.617194570135746,0.2864777218071611,ADA,10,euclidean
ligand_CHEMBL295003,22.75113122171945,0.3856359348456841,ADA,10,euclidean
ligand_CHEMBL295417,25.784615384615385,0.4059934702834777,ADA,10,euclidean
ligand_CHEMBL328139,10.617194570135746,0.3025980164457817,ADA,10,euclidean
ligand_CHEMBL35316,10.617194570135746,0.4075191570351913,ADA,10,euclidean
ligand_CHEMBL36986,13.650678733031674,0.3890788884134895,ADA,10,euclidean
ligand_CHEMBL37183,25.784615384615385,0.6341066100274982,ADA,10,euclidean
ligand_CHEMBL38218,21.23438914027149,0.4579212780959035,ADA,10,euclidean
ligand_CHEMBL38306,15.167420814479636,0.4423117090941352,ADA,10,euclidean
ligand_CHEMBL405920,21.23438914027149,0.472252013314999,ADA,10,euclidean
ligand_CHEMBL418074,30.334841628959275,0.4678017458534584,ADA,10,euclidean
ligand_CHEMBL436332,13.650678733031674,0.3158530089777914,ADA,10,euclidean
ligand_CHEMBL604966,12.133936651583712,0.3425097808508887,ADA,10,euclidean
ligand_CHEMBL81378,30.334841628959275,0.5335895812915552,ADA,10,euclidean
ligand_CHEMBL104714,19.71764705882353,0.394106859799592,ADA,10,cosine
ligand_CHEMBL127469,13.650678733031674,0.375441647183004,ADA,10,cosine
ligand_CHEMBL128787,7.583710407239819,0.1445229082876774,ADA,10,cosine
ligand_CHEMBL17351,4.550226244343891,0.1829066923194953,ADA,10,cosine
ligand_CHEMBL18838,13.650678733031674,0.3492566392451616,ADA,10,cosine
ligand_CHEMBL190280,12.133936651583712,0.3099181987742153,ADA,10,cosine
ligand_CHEMBL290030,9.100452488687782,0.2217721467031673,ADA,10,cosine
ligand_CHEMBL295003,12.133936651583712,0.2991182514778089,ADA,10,cosine
ligand_CHEMBL295417,16.684162895927603,0.3335761096778111,ADA,10,cosine
ligand_CHEMBL328139,4.550226244343891,0.2341708200406021,ADA,10,cosine
ligand_CHEMBL35316,10.617194570135746,0.3011858097632274,ADA,10,cosine
ligand_CHEMBL36986,9.100452488687782,0.2350233345749793,ADA,10,cosine
ligand_CHEMBL37183,13.650678733031674,0.3013162257587756,ADA,10,cosine
ligand_CHEMBL38218,21.23438914027149,0.4345564914500577,ADA,10,cosine
ligand_CHEMBL38306,4.550226244343891,0.2462316962891739,ADA,10,cosine
ligand_CHEMBL405920,1.516742081447964,0.0386350568017333,ADA,10,cosine
ligand_CHEMBL418074,10.617194570135746,0.3429797543027468,ADA,10,cosine
ligand_CHEMBL436332,3.033484162895928,0.102413128370767,ADA,10,cosine
ligand_CHEMBL604966,12.133936651583712,0.3142012884229869,ADA,10,cosine
ligand_CHEMBL81378,15.167420814479636,0.3576686291297929,ADA,10,cosine
ligand_CHEMBL104714,30.334841628959275,0.580233353754367,ADA,50,euclidean
ligand_CHEMBL127469,18.200904977375565,0.4255046890701526,ADA,50,euclidean
ligand_CHEMBL128787,9.100452488687782,0.2868309492318224,ADA,50,euclidean
ligand_CHEMBL17351,10.617194570135746,0.2333308350311737,ADA,50,euclidean
ligand_CHEMBL18838,22.75113122171945,0.4862927529293804,ADA,50,euclidean
ligand_CHEMBL190280,25.784615384615385,0.4743117251169529,ADA,50,euclidean
ligand_CHEMBL290030,7.583710407239819,0.1899533675395749,ADA,50,euclidean
ligand_CHEMBL295003,19.71764705882353,0.3278359401888869,ADA,50,euclidean
ligand_CHEMBL295417,24.267873303167423,0.3973187304952436,ADA,50,euclidean
ligand_CHEMBL328139,7.583710407239819,0.2753617986168835,ADA,50,euclidean
ligand_CHEMBL35316,6.066968325791856,0.2972512524809894,ADA,50,euclidean
ligand_CHEMBL36986,7.583710407239819,0.2280308621779723,ADA,50,euclidean
ligand_CHEMBL37183,10.617194570135746,0.2999770366625323,ADA,50,euclidean
ligand_CHEMBL38218,21.23438914027149,0.4335795097264757,ADA,50,euclidean
ligand_CHEMBL38306,15.167420814479636,0.3845707910610499,ADA,50,euclidean
ligand_CHEMBL405920,9.100452488687782,0.3723987493717705,ADA,50,euclidean
ligand_CHEMBL418074,25.784615384615385,0.4598611229969028,ADA,50,euclidean
ligand_CHEMBL436332,12.133936651583712,0.2924169285637112,ADA,50,euclidean
ligand_CHEMBL604966,12.133936651583712,0.2710989576527917,ADA,50,euclidean
ligand_CHEMBL81378,33.368325791855206,0.4924460972508936,ADA,50,euclidean
ligand_CHEMBL104714,22.75113122171945,0.4350454883931201,ADA,50,cosine
ligand_CHEMBL127469,4.550226244343891,0.1910313093339985,ADA,50,cosine
ligand_CHEMBL128787,3.033484162895928,0.1476676908771792,ADA,50,cosine
ligand_CHEMBL17351,4.550226244343891,0.1588042863391301,ADA,50,cosine
ligand_CHEMBL18838,15.167420814479636,0.3250713630122313,ADA,50,cosine
ligand_CHEMBL190280,10.617194570135746,0.1811085086022121,ADA,50,cosine
ligand_CHEMBL290030,7.583710407239819,0.1411267460032251,ADA,50,cosine
ligand_CHEMBL295003,16.684162895927603,0.271961680476178,ADA,50,cosine
ligand_CHEMBL295417,15.167420814479636,0.3023820982911953,ADA,50,cosine
ligand_CHEMBL328139,4.550226244343891,0.1733888449999712,ADA,50,cosine
ligand_CHEMBL35316,4.550226244343891,0.2856498802084179,ADA,50,cosine
ligand_CHEMBL36986,3.033484162895928,0.0871860969139814,ADA,50,cosine
ligand_CHEMBL37183,3.033484162895928,0.2027769359004912,ADA,50,cosine
ligand_CHEMBL38218,9.100452488687782,0.2061590631256557,ADA,50,cosine
ligand_CHEMBL38306,1.516742081447964,0.1239687542938402,ADA,50,cosine
ligand_CHEMBL405920,1.516742081447964,0.0477988694432144,ADA,50,cosine
